NO,LOWER,UPPER,SIZE XRP,SIZE USD
1,19.00,19.10,0.00,0
2,18.90,19.00,0.05,1
3,18.80,18.90,0.11,2
4,18.70,18.80,0.16,3
5,18.60,18.70,0.22,4
6,18.50,18.60,0.27,5
7,18.40,18.50,0.33,6
8,18.30,18.40,0.38,7
9,18.20,18.30,0.44,8
10,18.10,18.20,0.50,9
11,18.00,18.10,0.56,10
12,17.90,18.00,0.61,11
13,17.80,17.90,0.67,12
14,17.70,17.80,0.73,13
15,17.60,17.70,0.80,14
16,17.50,17.60,0.86,15
17,17.40,17.50,0.92,16
18,17.30,17.40,0.98,17
19,17.20,17.30,1.05,18
20,17.10,17.20,1.11,19
21,17.00,17.10,1.18,20
22,16.90,17.00,1.24,21
23,16.80,16.90,1.31,22
24,16.70,16.80,1.38,23
25,16.60,16.70,1.45,24
26,16.50,16.60,1.52,25
27,16.40,16.50,1.59,26
28,16.30,16.40,1.66,27
29,16.20,16.30,1.73,28
30,16.10,16.20,1.80,29
31,16.00,16.10,1.88,30
32,15.90,16.00,1.95,31
33,15.80,15.90,2.03,32
34,15.70,15.80,2.10,33
35,15.60,15.70,2.18,34
36,15.50,15.60,2.26,35
37,15.40,15.50,2.34,36
38,15.30,15.40,2.42,37
39,15.20,15.30,2.50,38
40,15.10,15.20,2.58,39
41,15.00,15.10,2.67,40
42,14.90,15.00,2.75,41
43,14.80,14.90,2.84,42
44,14.70,14.80,2.93,43
45,14.60,14.70,3.01,44
46,14.50,14.60,3.10,45
47,14.40,14.50,3.19,46
48,14.30,14.40,3.29,47
49,14.20,14.30,3.38,48
50,14.10,14.20,3.48,49
51,14.00,14.10,3.57,50
52,13.90,14.00,3.67,51
53,13.80,13.90,3.77,52
54,13.70,13.80,3.87,53
55,13.60,13.70,3.97,54
56,13.50,13.60,4.07,55
57,13.40,13.50,4.18,56
58,13.30,13.40,4.29,57
59,13.20,13.30,4.39,58
60,13.10,13.20,4.50,59
61,13.00,13.10,4.62,60
62,12.90,13.00,4.73,61
63,12.80,12.90,4.84,62
64,12.70,12.80,4.96,63
65,12.60,12.70,5.08,64
66,12.50,12.60,5.20,65
67,12.40,12.50,5.32,66
68,12.30,12.40,5.45,67
69,12.20,12.30,5.57,68
70,12.10,12.20,5.70,69
71,12.00,12.10,5.83,70
72,11.90,12.00,5.97,71
73,11.80,11.90,6.10,72
74,11.70,11.80,6.24,73
75,11.60,11.70,6.38,74
76,11.50,11.60,6.52,75
77,11.40,11.50,6.67,76
78,11.30,11.40,6.81,77
79,11.20,11.30,6.96,78
80,11.10,11.20,7.12,79
81,11.00,11.10,7.27,80
82,10.90,11.00,7.43,81
83,10.80,10.90,7.59,82
84,10.70,10.80,7.76,83
85,10.60,10.70,7.92,84
86,10.50,10.60,8.10,85
87,10.40,10.50,8.27,86
88,10.30,10.40,8.45,87
89,10.20,10.30,8.63,88
90,10.10,10.20,8.81,89
91,10.00,10.10,9.00,90
92,9.90,10.00,9.19,91
93,9.80,9.90,9.39,92
94,9.70,9.80,9.59,93
95,9.60,9.70,9.79,94
96,9.50,9.60,10.00,95
